base,label_l3,label_l2,confidence,rationale,evidence,source
2017년도 국정감사 결과보고서 채택의 건,지방행정,지방행정,0.6,국정감사 결과는 지방 행정의 투명성과 관련이 있다.,2017년도 국정감사 결과보고서 채택의 건,gpt:gpt-4o-mini
2017회계연도 결산,지방재정,지방재정·기타,0.7,회계연도 결산은 지방 재정 관리와 관련이 있다.,2017회계연도 결산,gpt:gpt-4o-mini
2017회계연도 결산(계속),지방재정,지방재정·기타,0.7,회계연도 결산은 지방 재정 관리와 관련이 있다.,2017회계연도 결산(계속),gpt:gpt-4o-mini
2017회계연도 예비비지출 승인의 건,지방재정,지방재정·기타,0.7,예비비 지출 승인은 지방 재정 관리와 관련이 있다.,2017회계연도 예비비지출 승인의 건,gpt:gpt-4o-mini
2017회계연도 예비비지출 승인의 건(계속),지방재정,지방재정·기타,0.7,예비비 지출 승인은 지방 재정 관리와 관련이 있다.,2017회계연도 예비비지출 승인의 건(계속),gpt:gpt-4o-mini
2018년도 국정감사 결과보고서 채택의 건,지방행정,지방행정,0.6,국정감사 결과는 지방 행정의 투명성과 관련이 있다.,2018년도 국정감사 결과보고서 채택의 건,gpt:gpt-4o-mini
2018년도 국정감사 서류(자료)제출 요구의 건,지방행정,지방행정,0.6,국정감사 서류 제출 요구는 지방 행정의 투명성과 관련이 있다.,2018년도 국정감사 서류(자료)제출 요구의 건,gpt:gpt-4o-mini
2018년도 국정감사 증인 등 출석요구의 건,지방행정,지방행정,0.6,국정감사 증인 출석 요구는 지방 행정의 투명성과 관련이 있다.,2018년도 국정감사 증인 등 출석요구의 건,gpt:gpt-4o-mini
2018년도 국정감사계획서 채택의 건,지방행정,지방행정,0.6,국정감사 계획서는 지방 행정의 투명성과 관련이 있다.,2018년도 국정감사계획서 채택의 건,gpt:gpt-4o-mini
2018년도 기금운용계획안,지방재정,지방재정·기타,0.9,기금운용계획안은 지방재정과 관련된 사항이기 때문이다.,기금운용계획안,gpt:gpt-4o-mini
2018년도 기금운용계획안(계속),지방재정,지방재정·기타,0.9,기금운용계획안은 지방재정과 관련된 사항이기 때문이다.,기금운용계획안(계속),gpt:gpt-4o-mini
2018년도 예산안,지방재정,지방재정·기타,0.9,예산안은 지방재정과 관련된 사항이기 때문이다.,예산안,gpt:gpt-4o-mini
2018년도 예산안(계속),지방재정,지방재정·기타,0.9,예산안은 지방재정과 관련된 사항이기 때문이다.,예산안(계속),gpt:gpt-4o-mini
2018년도 임대형 민자사업(BTL) 한도액안,지방재정,지방재정·기타,0.9,임대형 민자사업은 지방재정과 관련된 사항이기 때문이다.,임대형 민자사업(BTL) 한도액안,gpt:gpt-4o-mini
2018년도 임대형 민자사업(BTL) 한도액안(계속),지방재정,지방재정·기타,0.9,임대형 민자사업은 지방재정과 관련된 사항이기 때문이다.,임대형 민자사업(BTL) 한도액안(계속),gpt:gpt-4o-mini
2018년도 행정안전위원회 국정감사 관련 감사원에 대한 감사요구안,안전행정행정지원,정부혁신·행정지원,0.8,국정감사 관련 사항은 안전행정과 관련이 있다.,국정감사 관련 감사원에 대한 감사요구안,gpt:gpt-4o-mini
2018회계연도 결산,지방재정,지방재정·기타,0.9,회계연도 결산은 지방재정과 관련된 사항이기 때문이다.,2018회계연도 결산,gpt:gpt-4o-mini
2018회계연도 결산(계속),지방재정,지방재정·기타,0.9,회계연도 결산은 지방재정과 관련된 사항이기 때문이다.,2018회계연도 결산(계속),gpt:gpt-4o-mini
2018회계연도 예비비지출 승인의 건,지방재정,지방재정·기타,0.9,예비비지출 승인은 지방재정과 관련된 사항이기 때문이다.,2018회계연도 예비비지출 승인의 건,gpt:gpt-4o-mini
2018회계연도 예비비지출 승인의 건(계속),지방재정,지방재정·기타,0.9,예비비지출 승인은 지방재정과 관련된 사항이기 때문이다.,2018회계연도 예비비지출 승인의 건(계속),gpt:gpt-4o-mini
2019년도 국정감사 결과보고서 채택의 건,안전행정행정지원,정부혁신·행정지원,0.8,국정감사 결과보고서는 안전행정과 관련이 있다.,국정감사 결과보고서 채택의 건,gpt:gpt-4o-mini
2019년도 국정감사 서류(자료)제출 요구의 건,안전행정행정지원,정부혁신·행정지원,0.8,국정감사 서류 제출 요구는 안전행정과 관련이 있다.,국정감사 서류(자료)제출 요구의 건,gpt:gpt-4o-mini
2019년도 국정감사 일정 변경의 건,안전행정행정지원,정부혁신·행정지원,0.8,국정감사 일정 변경은 안전행정과 관련이 있다.,국정감사 일정 변경의 건,gpt:gpt-4o-mini
2019년도 국정감사 증인 등 출석요구의 건,안전행정행정지원,정부혁신·행정지원,0.8,국정감사 증인 출석 요구는 안전행정과 관련이 있다.,국정감사 증인 등 출석요구의 건,gpt:gpt-4o-mini
2019년도 국정감사 증인 등 출석요구의 건(계속),안전행정행정지원,정부혁신·행정지원,0.8,국정감사 증인 출석 요구는 안전행정과 관련이 있다.,국정감사 증인 등 출석요구의 건(계속),gpt:gpt-4o-mini
2019년도 국정감사 참고인 출석요구의 건,안전행정행정지원,정부혁신·행정지원,0.8,국정감사 참고인 출석 요구는 안전행정과 관련이 있다.,국정감사 참고인 출석요구의 건,gpt:gpt-4o-mini
2019년도 국정감사 참고인 출석요구의 건(계속),안전행정행정지원,정부혁신·행정지원,0.8,국정감사 참고인 출석 요구는 안전행정과 관련이 있다.,국정감사 참고인 출석요구의 건(계속),gpt:gpt-4o-mini
2019년도 국정감사계획서 채택의 건,안전행정행정지원,정부혁신·행정지원,0.8,국정감사계획서는 안전행정과 관련이 있다.,국정감사계획서 채택의 건,gpt:gpt-4o-mini
2019년도 기금운용계획안,지방재정,지방재정·기타,0.9,기금운용계획안은 지방재정과 관련된 사항이기 때문이다.,기금운용계획안,gpt:gpt-4o-mini
2019년도 기금운용계획안(계속),지방재정,지방재정·기타,0.9,기금운용계획안은 지방재정과 관련된 사항이기 때문이다.,기금운용계획안(계속),gpt:gpt-4o-mini
2019년도 예산안,지방재정,지방재정·기타,0.9,예산안은 지방재정과 관련된 사항이기 때문이다.,예산안,gpt:gpt-4o-mini
2019년도 예산안(계속),지방재정,지방재정·기타,0.9,예산안은 지방재정과 관련된 사항이기 때문이다.,예산안(계속),gpt:gpt-4o-mini
2019년도 임대형 민자사업(BTL) 한도액안,지방재정,지방재정·기타,0.9,임대형 민자사업은 지방재정과 관련된 사항이기 때문이다.,임대형 민자사업(BTL) 한도액안,gpt:gpt-4o-mini
2019년도 임대형 민자사업(BTL) 한도액안(계속),지방재정,지방재정·기타,0.9,임대형 민자사업은 지방재정과 관련된 사항이기 때문이다.,임대형 민자사업(BTL) 한도액안(계속),gpt:gpt-4o-mini
2019년도 제1회 추가경정예산안,지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정과 관련된 사항이기 때문이다.,제1회 추가경정예산안,gpt:gpt-4o-mini
2019년도 제1회 추가경정예산안(계속),지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정과 관련된 사항이기 때문이다.,제1회 추가경정예산안(계속),gpt:gpt-4o-mini
2019회계연도 결산,지방재정,지방재정·기타,0.9,회계연도 결산은 지방재정과 관련된 사항이기 때문이다.,2019회계연도 결산,gpt:gpt-4o-mini
2019회계연도 결산(계속),지방재정,지방재정·기타,0.9,회계연도 결산은 지방재정과 관련된 사항이기 때문이다.,2019회계연도 결산(계속),gpt:gpt-4o-mini
2019회계연도 예비비지출 승인의 건,지방재정,지방재정·기타,0.9,예비비지출 승인은 지방재정과 관련된 사항이기 때문이다.,2019회계연도 예비비지출 승인의 건,gpt:gpt-4o-mini
2019회계연도 예비비지출 승인의 건(계속),지방재정,지방재정·기타,0.9,예비비 지출은 지방재정과 관련된 사항이기 때문에 가장 적합한 라벨이다.,예비비지출 승인의 건,gpt:gpt-4o-mini
2020년도 국정감사 계획서 변경의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 계획서는 정부의 운영 및 혁신과 관련된 사항으로 볼 수 있다.,국정감사 계획서 변경의 건,gpt:gpt-4o-mini
2020년도 국정감사 계획서 채택의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 계획서 채택은 정부의 운영 및 혁신과 관련된 사항이다.,국정감사 계획서 채택의 건,gpt:gpt-4o-mini
2020년도 국정감사 서류(자료)제출 요구의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 서류 제출 요구는 정부의 투명성과 혁신을 위한 절차이다.,국정감사 서류(자료)제출 요구의 건,gpt:gpt-4o-mini
2020년도 국정감사 증인 등 출석요구의 건,정부혁신,정부혁신·행정지원,0.8,증인 출석 요구는 정부의 책임성과 투명성을 높이는 과정이다.,국정감사 증인 등 출석요구의 건,gpt:gpt-4o-mini
2020년도 국정감사 증인․참고인 철회의 건,정부혁신,정부혁신·행정지원,0.8,증인 및 참고인 철회는 정부의 운영과 관련된 절차이다.,국정감사 증인․참고인 철회의 건,gpt:gpt-4o-mini
2020년도 국정감사 증인․참고인 출석요구 및 철회의 건,정부혁신,정부혁신·행정지원,0.8,출석 요구 및 철회는 정부의 운영과 관련된 절차이다.,국정감사 증인․참고인 출석요구 및 철회의 건,gpt:gpt-4o-mini
2020년도 국정감사 참고인 출석요구의 건,정부혁신,정부혁신·행정지원,0.8,참고인 출석 요구는 정부의 투명성과 책임성을 높이는 과정이다.,국정감사 참고인 출석요구의 건,gpt:gpt-4o-mini
2020년도 기금운용계획안,지방재정,지방재정·기타,0.9,기금 운용은 지방재정과 관련된 중요한 사항이다.,기금운용계획안,gpt:gpt-4o-mini
2020년도 기금운용계획안(계속),지방재정,지방재정·기타,0.9,기금 운용은 지방재정과 관련된 중요한 사항이다.,기금운용계획안(계속),gpt:gpt-4o-mini
2020년도 예산안,지방재정,지방재정·기타,0.9,예산안은 지방재정의 중요한 요소이다.,2020년도 예산안,gpt:gpt-4o-mini
2020년도 예산안(계속),지방재정,지방재정·기타,0.9,예산안은 지방재정의 중요한 요소이다.,2020년도 예산안(계속),gpt:gpt-4o-mini
2020년도 임대형 민자사업(BTL) 한도액안,지방재정,지방재정·기타,0.9,민자사업 한도액은 지방재정과 관련된 사항이다.,임대형 민자사업(BTL) 한도액안,gpt:gpt-4o-mini
2020년도 임대형 민자사업(BTL) 한도액안(계속),지방재정,지방재정·기타,0.9,민자사업 한도액은 지방재정과 관련된 사항이다.,임대형 민자사업(BTL) 한도액안(계속),gpt:gpt-4o-mini
2020년도 제1회 추가경정예산안,지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정의 중요한 요소이다.,제1회 추가경정예산안,gpt:gpt-4o-mini
2020년도 제1회 추가경정예산안(계속),지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정의 중요한 요소이다.,제1회 추가경정예산안(계속),gpt:gpt-4o-mini
2020년도 제2회 추가경정예산안,지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정의 중요한 요소이다.,제2회 추가경정예산안,gpt:gpt-4o-mini
2020년도 제2회 추가경정예산안(계속),지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정의 중요한 요소이다.,제2회 추가경정예산안(계속),gpt:gpt-4o-mini
2020년도 제3회 추가경정예산안,지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정의 중요한 요소이다.,제3회 추가경정예산안,gpt:gpt-4o-mini
2020년도 제4회 추가경정예산안,지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정의 중요한 요소이다.,제4회 추가경정예산안,gpt:gpt-4o-mini
2020년도 제4회 추가경정예산안(계속),지방재정,지방재정·기타,0.9,추가경정예산안은 지방재정의 중요한 요소이다.,제4회 추가경정예산안(계속),gpt:gpt-4o-mini
2020회계연도 결산,지방재정,지방재정·기타,0.9,결산은 지방재정의 중요한 요소이다.,2020회계연도 결산,gpt:gpt-4o-mini
2020회계연도 예비비지출 승인의 건,지방재정,지방재정·기타,0.9,예비비 지출은 지방재정과 관련된 사항이다.,예비비지출 승인의 건,gpt:gpt-4o-mini
2021년도 공공자금관리기금운용계획변경안,지방재정,지방재정·기타,0.9,공공자금 관리 기금 운용은 지방재정과 관련된 사항이다.,공공자금관리기금운용계획변경안,gpt:gpt-4o-mini
2021년도 국정감사 결과보고서 채택의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 결과보고서는 정부의 운영 및 혁신과 관련된 사항이다.,국정감사 결과보고서 채택의 건,gpt:gpt-4o-mini
2021년도 국정감사 계획서 채택의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 계획서 채택은 정부의 운영 및 혁신과 관련된 사항이다.,국정감사 계획서 채택의 건,gpt:gpt-4o-mini
2021년도 국정감사 서류(자료)제출 요구의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 서류 제출 요구는 정부의 투명성과 혁신을 위한 절차이다.,국정감사 서류(자료)제출 요구의 건,gpt:gpt-4o-mini
2021년도 국정감사 일정 변경의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 일정 변경은 정부의 운영 및 혁신과 관련된 사항이다.,국정감사 일정 변경의 건,gpt:gpt-4o-mini
2021년도 국정감사 증인 등 출석요구의 건,정부혁신,정부혁신·행정지원,0.8,증인 출석 요구는 정부의 책임성과 투명성을 높이는 과정이다.,국정감사 증인 등 출석요구의 건,gpt:gpt-4o-mini
2021년도 국정감사 증인․참고인 철회의 건,정부혁신,정부혁신·행정지원,0.8,증인 및 참고인 철회는 정부의 운영과 관련된 절차이다.,국정감사 증인․참고인 철회의 건,gpt:gpt-4o-mini
2021년도 국정감사 증인․참고인 출석요구 및 철회의 건,정부의전,정부혁신·행정지원,0.9,"국정감사는 정부의 업무를 감사하는 절차로, 정부의 전반적인 운영과 관련이 있다.",국정감사 증인․참고인 출석요구,gpt:gpt-4o-mini
2021년도 국정감사 증인․참고인 출석요구의 건,정부의전,정부혁신·행정지원,0.9,"국정감사는 정부의 업무를 감사하는 절차로, 정부의 전반적인 운영과 관련이 있다.",국정감사 증인․참고인 출석요구,gpt:gpt-4o-mini
2021년도 기금운용계획안,지방재정,지방재정·기타,0.8,기금운용계획은 지방자치단체의 재정 운영과 관련된 사항이다.,기금운용계획안,gpt:gpt-4o-mini
2021년도 기금운용계획안(계속),지방재정,지방재정·기타,0.8,기금운용계획은 지방자치단체의 재정 운영과 관련된 사항이다.,기금운용계획안,gpt:gpt-4o-mini
2021년도 예산안,지방재정,지방재정·기타,0.9,예산안은 지방자치단체의 재정 운영과 관련된 중요한 문서이다.,2021년도 예산안,gpt:gpt-4o-mini
2021년도 예산안(계속),지방재정,지방재정·기타,0.9,예산안은 지방자치단체의 재정 운영과 관련된 중요한 문서이다.,2021년도 예산안,gpt:gpt-4o-mini
2021년도 제1회 추가경정예산안,지방재정,지방재정·기타,0.9,추가경정예산안은 지방자치단체의 재정 운영과 관련된 사항이다.,제1회 추가경정예산안,gpt:gpt-4o-mini
2021년도 제2회 추가경정예산안,지방재정,지방재정·기타,0.9,추가경정예산안은 지방자치단체의 재정 운영과 관련된 사항이다.,제2회 추가경정예산안,gpt:gpt-4o-mini
2021회계연도 결산,지방재정,지방재정·기타,0.9,결산은 지방자치단체의 재정 운영 결과를 정리하는 문서이다.,2021회계연도 결산,gpt:gpt-4o-mini
2021회계연도 예비비지출 승인의 건,지방재정,지방재정·기타,0.9,예비비지출은 지방자치단체의 재정 운영과 관련된 사항이다.,예비비지출 승인의 건,gpt:gpt-4o-mini
2022년도 국정감사 결과보고서 채택의 건,정부의전,정부혁신·행정지원,0.9,국정감사 결과보고서는 정부의 업무에 대한 감사 결과를 정리한 문서이다.,국정감사 결과보고서 채택,gpt:gpt-4o-mini
2022년도 국정감사 계획서 채택의 건,정부의전,정부혁신·행정지원,0.9,국정감사 계획서는 정부의 업무를 감사하기 위한 계획을 담고 있다.,국정감사 계획서 채택,gpt:gpt-4o-mini
2022년도 국정감사 보고 및 서류(자료)제출 요구의 건,정부의전,정부혁신·행정지원,0.9,국정감사 보고는 정부의 업무에 대한 감사 결과를 정리한 문서이다.,국정감사 보고 및 서류(자료)제출 요구,gpt:gpt-4o-mini
2022년도 국정감사 증인 및 참고인 출석 요구의 건,정부의전,정부혁신·행정지원,0.9,국정감사 증인 출석 요구는 정부의 업무를 감사하기 위한 절차이다.,국정감사 증인 및 참고인 출석 요구,gpt:gpt-4o-mini
2022년도 국정감사 증인 출석 요구의 건,정부의전,정부혁신·행정지원,0.9,국정감사 증인 출석 요구는 정부의 업무를 감사하기 위한 절차이다.,국정감사 증인 출석 요구,gpt:gpt-4o-mini
2022년도 국정감사 증인․참고인 출석요구 철회 및 추가의 건,정부의전,정부혁신·행정지원,0.9,국정감사 증인 출석 요구는 정부의 업무를 감사하기 위한 절차이다.,국정감사 증인․참고인 출석요구 철회,gpt:gpt-4o-mini
2022년도 국정감사 증인ㆍ참고인 철회 및 출석요구 변경의 건,정부의전,정부혁신·행정지원,0.9,국정감사 증인 출석 요구는 정부의 업무를 감사하기 위한 절차이다.,국정감사 증인ㆍ참고인 철회 및 출석요구 변경,gpt:gpt-4o-mini
2022년도 국정감사계획서 채택의 건,정부의전,정부혁신·행정지원,0.9,국정감사 계획서는 정부의 업무를 감사하기 위한 계획을 담고 있다.,국정감사계획서 채택,gpt:gpt-4o-mini
2022년도 기금운용계획변경안,지방재정,지방재정·기타,0.8,기금운용계획은 지방자치단체의 재정 운영과 관련된 사항이다.,기금운용계획변경안,gpt:gpt-4o-mini
2022년도 기금운용계획안,지방재정,지방재정·기타,0.8,기금운용계획은 지방자치단체의 재정 운영과 관련된 사항이다.,기금운용계획안,gpt:gpt-4o-mini
2022년도 예산안,지방재정,지방재정·기타,0.9,예산안은 지방자치단체의 재정 운영과 관련된 중요한 문서이다.,2022년도 예산안,gpt:gpt-4o-mini
2022년도 임대형 민자사업(BTL) 한도액안,지방재정,지방재정·기타,0.8,민자사업 한도액안은 지방자치단체의 재정 운영과 관련된 사항이다.,임대형 민자사업(BTL) 한도액안,gpt:gpt-4o-mini
2022년도 제2회 추가경정예산안,지방재정,지방재정·기타,0.9,추가경정예산안은 지방자치단체의 재정 운영과 관련된 사항이다.,제2회 추가경정예산안,gpt:gpt-4o-mini
2023년도 국정감사 결과보고서 채택의 건,정부의전,정부혁신·행정지원,0.9,국정감사 결과보고서는 정부의 업무에 대한 감사 결과를 정리한 문서이다.,국정감사 결과보고서 채택,gpt:gpt-4o-mini
2023년도 국정감사 계획서 채택의 건,정부의전,정부혁신·행정지원,0.9,국정감사 계획서는 정부의 업무를 감사하기 위한 계획을 담고 있다.,국정감사 계획서 채택,gpt:gpt-4o-mini
2023년도 국정감사 보고 및 서류제출 요구의 건,정부의전,정부혁신·행정지원,0.9,국정감사 보고는 정부의 업무에 대한 감사 결과를 정리한 문서이다.,국정감사 보고 및 서류제출 요구,gpt:gpt-4o-mini
2023년도 국정감사 증인 출석 요구 추가 및 철회의 건,정부의전,정부혁신·행정지원,0.9,국정감사 증인 출석 요구는 정부의 업무를 감사하기 위한 절차이다.,국정감사 증인 출석 요구 추가 및 철회의 건,gpt:gpt-4o-mini
2023년도 국정감사 증인 출석 요구의 건,정부의전,정부혁신·행정지원,0.9,국정감사 증인 출석 요구는 정부의 업무를 감사하기 위한 절차이다.,국정감사 증인 출석 요구,gpt:gpt-4o-mini
2023년도 국정감사 증인․참고인 출석 요구 추가의 건,정부의전,정부혁신·행정지원,0.9,국정감사 증인 출석 요구는 정부의 업무를 감사하기 위한 절차이다.,국정감사 증인․참고인 출석 요구 추가의 건,gpt:gpt-4o-mini
2023년도 국정감사 참고인 출석 요구 철회의 건,정부의전,정부혁신·행정지원,0.9,국정감사 참고인 출석 요구는 정부의 업무를 감사하기 위한 절차이다.,국정감사 참고인 출석 요구 철회의 건,gpt:gpt-4o-mini
2023년도 기금운용계획안,국가적중장기과제추진·지원,정부혁신·행정지원,0.9,기금운용계획은 국가의 장기적인 재정 계획과 관련이 있다.,기금운용계획안,gpt:gpt-4o-mini
2023년도 예산안,국가적중장기과제추진·지원,정부혁신·행정지원,0.9,예산안은 국가의 재정 운영과 장기 계획에 필수적이다.,예산안,gpt:gpt-4o-mini
2023년도 임대형 민자사업(BTL) 한도액안,국가적중장기과제추진·지원,정부혁신·행정지원,0.8,민자사업 한도액은 국가의 장기적인 재정 계획과 관련이 있다.,임대형 민자사업(BTL) 한도액안,gpt:gpt-4o-mini
2023회계연도 결산,국가적중장기과제추진·지원,정부혁신·행정지원,0.9,회계연도 결산은 국가 재정의 종합적인 평가를 포함한다.,회계연도 결산,gpt:gpt-4o-mini
2024년 민생위기 극복을 위한 특별조치법안(이재명 의원 발의),국민안전행정지원,재난·안전,0.85,민생위기 극복을 위한 법안은 국민의 안전과 관련이 있다.,민생위기 극복을 위한 특별조치법안,gpt:gpt-4o-mini
2024년 민생회복지원금 지급을 위한 특별조치법안(대안),국민안전행정지원,재난·안전,0.85,민생 회복을 위한 지원금 지급은 국민의 안전과 복지에 기여한다.,민생회복지원금 지급을 위한 특별조치법안,gpt:gpt-4o-mini
2024년도 국정감사 계획서 변경의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 계획의 변경은 정부의 운영 및 혁신과 관련이 있다.,국정감사 계획서 변경의 건,gpt:gpt-4o-mini
2024년도 국정감사 계획서 채택의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 계획의 채택은 정부의 운영 및 혁신과 관련이 있다.,국정감사 계획서 채택의 건,gpt:gpt-4o-mini
2024년도 국정감사 국회모욕 증인 고발의 건,정부혁신,정부혁신·행정지원,0.75,국정감사와 관련된 증인 고발은 정부의 투명성과 혁신을 위한 조치이다.,국정감사 국회모욕 증인 고발의 건,gpt:gpt-4o-mini
2024년도 국정감사 보고 및 서류제출 요구의 건,정부혁신,정부혁신·행정지원,0.8,국정감사 보고 및 서류 제출 요구는 정부의 투명성을 높이는 조치이다.,국정감사 보고 및 서류제출 요구의 건,gpt:gpt-4o-mini
2024년도 국정감사 불출석 증인 및 동행명령 회피 증인 고발의 건,정부혁신,정부혁신·행정지원,0.75,불출석 증인 고발은 정부의 투명성과 책임성을 강화하는 조치이다.,국정감사 불출석 증인 및 동행명령 회피 증인 고발의 건,gpt:gpt-4o-mini
2024년도 국정감사 증인 및 참고인 출석 요구 추가의 건,정부혁신,정부혁신·행정지원,0.8,증인 출석 요구는 정부의 투명성을 높이는 조치이다.,국정감사 증인 및 참고인 출석 요구 추가의 건,gpt:gpt-4o-mini
2024년도 국정감사 증인 및 참고인 출석 요구의 건,정부혁신,정부혁신·행정지원,0.8,증인 출석 요구는 정부의 투명성을 높이는 조치이다.,국정감사 증인 및 참고인 출석 요구의 건,gpt:gpt-4o-mini
2024년도 국정감사 증인 출석 요구의 건,정부혁신,정부혁신·행정지원,0.8,증인 출석 요구는 정부의 투명성을 높이는 조치이다.,국정감사 증인 출석 요구의 건,gpt:gpt-4o-mini
