회차,주요안건,회의내용 요약,키워드(가중치포함),키워드_가중치맵,키워드_RAW_JSON
379회,2020년도 제3회 추가경정예산안(추경안) 심의 및 의결; 코로나19 대응을 위한 신속한 예산 집행 및 취약계층 지원 방안; 경찰청 및 소방청 관련 정책과 아동 안전지킴이 사업 운영 개선; 공무원 재해보상 및 소방관 트라우마 관련 제도 개선 논의; 위원회 운영 및 간사 선임 등 행정안전위원회 조직 구성,"제379회 국회 행정안전위원회는 2020년도 제3회 추가경정예산안을 신속히 심의·의결하였다. 코로나19로 인한 국민의 어려움을 고려해 취약계층 지원과 희망근로사업 등 즉시 집행 가능한 사업에 중점을 두었다. 아동 안전지킴이 사업의 예산 감액 문제와 운영 개선 필요성이 제기되었으며, 경찰과 아동보호전문기관 간 협력 강화 및 법령 개선 방안도 논의되었다. 소방관 트라우마로 인한 순직 인정 범위 확대와 공무원 재해보상법 개정 필요성도 강조되었다. 위원들은 행안위의 효율적 운영과 국민 안전 강화에 대한 의지를 표명하며, 정부 관계자들의 협조를 당부하였다. 간사 선임과 위원회 지원 인력 소개 등 조직 구성도 완료하였다.","추가경정예산안(10), 코로나19(9), 아동 안전지킴이 사업(8), 경찰청(7), 소방관 트라우마(7), 행정안전위원회(6), 희망근로사업(5), 지방자치(5), 재해보상법(4)","{""경찰청"":7,""코로나19"":9,""지방자치"":5,""재해보상법"":4,""희망근로사업"":5,""추가경정예산안"":10,""행정안전위원회"":6,""소방관 트라우마"":7,""아동 안전지킴이 사업"":8}","[{""reason"":""회의의 핵심 주제로 코로나19 대응을 위한 예산 심의와 의결이 중심이었다"",""weight"":10,""keyword"":""추가경정예산안""},{""reason"":""추경안과 관련해 국민 지원 및 방역 대응의 배경이자 주요 쟁점"",""weight"":9,""keyword"":""코로나19""},{""reason"":""예산 감액과 운영 문제로 집중 논의된 아동 안전 관련 핵심 사업"",""weight"":8,""keyword"":""아동 안전지킴이 사업""},{""reason"":""아동학대 대응 및 치안 유지 관련 정책과 예산 집행에 중요한 역할"",""weight"":7,""keyword"":""경찰청""},{""reason"":""소방관 순직 인정과 재해보상법 개정 필요성으로 회의 중 강조됨"",""weight"":7,""keyword"":""소방관 트라우마""},{""reason"":""위원회 운영과 조직 구성, 위원 인사 및 간사 선임이 진행됨"",""weight"":6,""keyword"":""행정안전위원회""},{""reason"":""코로나19 취약계층 지원을 위한 즉시 집행 사업으로 언급됨"",""weight"":5,""keyword"":""희망근로사업""},{""reason"":""위원들의 주요 관심사로서 자치분권과 지방 혁신 관련 논의가 포함됨"",""weight"":5,""keyword"":""지방자치""},{""reason"":""공무원 순직 및 재해보상 관련 법률 개정 필요성 제기됨"",""weight"":4,""keyword"":""재해보상법""}]"
380회,미래통합당 간사 위원 선임; 경찰청장 후보자 인사청문회 실시 계획서 채택 및 일정 협의; 부동산 관련 지방세법 및 지방세특례제한법 일부개정법률안 심사 및 의결; 감염병 대응 강화를 위한 정부조직법 일부개정법률안 및 재난 및 안전관리 기본법 일부개정법률안 의결,"제380회 국회 행정안전위원회 첫 회의에서는 미래통합당 간사 위원으로 박완수 위원을 선임하였다. 경찰청장 후보자 인사청문회 실시 계획서 채택과 관련해 양당 간사 간 일정 조율 논의가 있었으며, 청문회 일정은 17일로 연기되었다. 부동산 시장 안정화를 위한 지방세법 및 지방세특례제한법 개정안과 감염병 대응 강화를 위한 정부조직법 및 재난안전관리법 개정안 등 4건의 법률안이 심도 있게 논의되어 수정안을 반영한 후 의결되었다. 코로나19 상황을 고려한 신속한 법안 처리와 국민 안전 확보를 위한 위원회 역할이 강조되었다. 위원장과 간사들은 상호 협력과 합의를 통해 모범적인 위원회 운영을 다짐하였다. 회의는 법안 의결과 정부 측 인사말을 끝으로 산회되었다.","간사 위원 선임(9), 경찰청장 인사청문회(10), 지방세법 개정안(8), 정부조직법 개정안(7), 재난 및 안전관리법(7), 코로나19(6), 법률안 의결(8), 여야 협력(6), 부동산 감면 기준(5), 자료 제출 및 증인 출석 요구(4)","{""코로나19"":6,""여야 협력"":6,""법률안 의결"":8,""간사 위원 선임"":9,""지방세법 개정안"":8,""부동산 감면 기준"":5,""정부조직법 개정안"":7,""재난 및 안전관리법"":7,""경찰청장 인사청문회"":10,""자료 제출 및 증인 출석 요구"":4}","[{""reason"":""미래통합당 간사 선임이 회의 초반 주요 안건으로 다뤄짐"",""weight"":9,""keyword"":""간사 위원 선임""},{""reason"":""청문회 실시 계획서 채택과 일정 조율이 회의 핵심 쟁점임"",""weight"":10,""keyword"":""경찰청장 인사청문회""},{""reason"":""부동산 시장 안정화를 위한 세법 개정안이 주요 심사 대상임"",""weight"":8,""keyword"":""지방세법 개정안""},{""reason"":""감염병 대응 강화를 위한 조직법 개정이 논의됨"",""weight"":7,""keyword"":""정부조직법 개정안""},{""reason"":""재난 대응 체계 강화를 위한 법률안이 함께 의결됨"",""weight"":7,""keyword"":""재난 및 안전관리법""},{""reason"":""회의 배경과 법안 처리의 긴급성을 설명하는 주요 맥락임"",""weight"":6,""keyword"":""코로나19""},{""reason"":""4건의 법률안이 수정안 반영 후 의결되어 회의의 중요한 결과임"",""weight"":8,""keyword"":""법률안 의결""},{""reason"":""위원장과 간사 간 합의와 협력을 통한 위원회 운영 강조됨"",""weight"":6,""keyword"":""여야 협력""},{""reason"":""지방세 감면 기준과 실효성에 대한 논의가 반복됨"",""weight"":5,""keyword"":""부동산 감면 기준""},{""reason"":""경찰청장 청문회 관련 자료 제출과 증인 요구가 논의됨"",""weight"":4,""keyword"":""자료 제출 및 증인 출석 요구""}]"
381회,소위원회 구성의 건; 2019회계연도 행정안전부 등 5개 부처 결산 및 예비비 지출 승인; 각 부처 업무보고 및 결산 심사,"제381회 국회 행정안전위원회에서는 최근 집중호우로 인한 인명피해와 소방·경찰관 희생에 대한 묵념을 시작으로 소위원회 구성을 의결하였다. 이어 2019회계연도 행정안전부, 경찰청, 중앙선거관리위원회 등 5개 부처의 결산 및 예비비 지출 승인을 심사하고, 각 부처의 업무보고를 청취하였다. 특히 경찰청 결산 심사에서는 예산 집행 부적정 사례, 인건비 불용 문제, 제주자치경찰 예산 전용 문제 등이 지적되었으며, 이에 대해 경찰청은 시정 및 제도개선 의사를 표명하였다. 또한 코로나19와 재난 대응, 지방분권 및 지역경제 활성화, 스마트 재난안전 대응 등 행정안전부의 주요 정책 방향도 보고되었다. 위원들은 예산 집행의 투명성과 절차 준수를 강조하며 향후 재발 방지와 국회 심의권 존중을 당부하였다.","결산심사(10), 예산집행(9), 경찰청(9), 행정안전부(8), 소위원회 구성(7), 재난대응(7), 제주자치경찰(6), 예비비지출(6), 국회 심의권(5), 인건비 불용(5)","{""경찰청"":9,""결산심사"":10,""예산집행"":9,""재난대응"":7,""예비비지출"":6,""행정안전부"":8,""국회 심의권"":5,""인건비 불용"":5,""제주자치경찰"":6,""소위원회 구성"":7}","[{""reason"":""회의의 핵심 주제로 2019회계연도 결산 및 예비비 지출 승인 심사가 집중적으로 이루어짐"",""weight"":10,""keyword"":""결산심사""},{""reason"":""예산의 적정 집행과 부적정 사례 지적이 주요 쟁점으로 다뤄짐"",""weight"":9,""keyword"":""예산집행""},{""reason"":""결산 심사에서 여러 문제점이 집중적으로 지적된 부처"",""weight"":9,""keyword"":""경찰청""},{""reason"":""주요 업무보고와 결산 심사 대상 부처로서 정책 방향과 예산 집행 현황 보고"",""weight"":8,""keyword"":""행정안전부""},{""reason"":""회의 초반 주요 안건으로 소위원회 구성과 역할 분담 의결"",""weight"":7,""keyword"":""소위원회 구성""},{""reason"":""최근 집중호우 피해와 코로나19 대응 관련 정책 및 예산 집행이 논의됨"",""weight"":7,""keyword"":""재난대응""},{""reason"":""예산 전용 문제와 시범운영 관련 논의가 반복적으로 언급됨"",""weight"":6,""keyword"":""제주자치경찰""},{""reason"":""결산 심사에서 예비비 지출 내역과 적정성 검토가 이루어짐"",""weight"":6,""keyword"":""예비비지출""},{""reason"":""예산 집행 과정에서 국회 심의 절차 준수의 중요성이 강조됨"",""weight"":5,""keyword"":""국회 심의권""},{""reason"":""경찰청 인건비 불용 문제와 개선 요구가 제기됨"",""weight"":5,""keyword"":""인건비 불용""}]"
382회,"예산·결산기금심사소위원회 위원장 및 위원 개선의 건; 중앙선거관리위원회 위원후보자 노정희 인사청문회 실시 및 자료제출 요구; 2020년도 국정감사 증인 및 참고인 출석요구와 철회, 국정감사 계획 변경","본 회의에서는 예산·결산기금심사소위원회 위원장 교체 및 위원 개선을 의결하고, 대법원장이 지명한 중앙선거관리위원회 위원후보자 노정희에 대한 인사청문회를 실시하였다. 청문회에서는 후보자의 법관 경력과 선거관리 중립성 의지를 확인하고, 관련 자료 제출 및 질의 절차를 안내하였다. 또한 2020년도 국정감사와 관련하여 증인 및 참고인 출석 요구와 철회, 국정감사 계획 변경을 논의하였으며, 코로나19 상황을 고려해 지방자치단체 국정감사를 국회에서 합동으로 실시하는 방안도 결정하였다. 여야 간 증인 채택에 대한 협의와 정치적 쟁점에 대한 입장 차이도 드러났다. 회의는 국정감사의 효율적 진행과 공정성 확보에 중점을 두었다.","국정감사(10), 중앙선거관리위원회(9), 인사청문회(9), 증인채택(8), 예산·결산기금심사소위원회(7), 코로나19(6), 자료제출(6), 여야간사(5), 지방자치단체(5), 업무추진비(3)","{""코로나19"":6,""국정감사"":10,""여야간사"":5,""자료제출"":6,""증인채택"":8,""업무추진비"":3,""인사청문회"":9,""지방자치단체"":5,""중앙선거관리위원회"":9,""예산·결산기금심사소위원회"":7}","[{""reason"":""회의 전반에서 가장 핵심적으로 반복 언급된 주제"",""weight"":10,""keyword"":""국정감사""},{""reason"":""노정희 후보자 인사청문회와 관련된 주요 기관"",""weight"":9,""keyword"":""중앙선거관리위원회""},{""reason"":""위원 후보자 검증과 관련된 핵심 절차"",""weight"":9,""keyword"":""인사청문회""},{""reason"":""국정감사 증인 및 참고인 출석 요구와 관련된 주요 쟁점"",""weight"":8,""keyword"":""증인채택""},{""reason"":""위원장 및 위원 개선 안건과 관련된 핵심 소위원회"",""weight"":7,""keyword"":""예산·결산기금심사소위원회""},{""reason"":""국정감사 일정 및 인원 제한에 영향을 준 보조 개념"",""weight"":6,""keyword"":""코로나19""},{""reason"":""인사청문회 및 국정감사에서 요구된 핵심 행정 절차"",""weight"":6,""keyword"":""자료제출""},{""reason"":""증인 채택 및 국정감사 진행 협의 과정에서 반복 언급됨"",""weight"":5,""keyword"":""여야간사""},{""reason"":""국정감사 일정 변경과 관련하여 합동 감사 대상"",""weight"":5,""keyword"":""지방자치단체""},{""reason"":""노정희 후보자 관련 질의 중 일부로 언급된 부수적 이슈"",""weight"":3,""keyword"":""업무추진비""}]"
383회,형사소송법 개정에 따른 전자정부법 일부개정법률안 심사; 행정안전부장관 후보자 전해철 인사청문회 및 인사청문경과보고서 채택; 지방분권 및 재정분권 강화와 재난관리기금 운용 현황 논의,"본 회의에서는 형사소송법 개정에 따른 전자정부법 일부개정법률안 심사가 이루어졌으며, 검찰송치 여부에 따른 개인정보 통보 시기 조정과 수사종결권 관련 쟁점이 집중 논의되었다. 이어 행정안전부장관 후보자 전해철에 대한 인사청문회가 진행되어 후보자의 공직수행 적격성, 도덕성, 정책 방향 등에 대해 심층 검증하였고, 후보자는 선거 중립과 공정한 행정 운영 의지를 강조하였다. 지방분권 강화와 재정분권, 재난관리기금의 현황 및 보강 필요성도 함께 다뤄졌다. 청문회 후 인사청문경과보고서가 채택되었으며, 향후 후보자의 국정 수행에 대한 기대와 당부가 전달되었다.","형사소송법(10), 전자정부법(9), 행정안전부장관 인사청문회(10), 수사종결권(8), 개인정보 보호(8), 지방분권(7), 재난관리기금(6), 선거 중립(7), 인사청문경과보고서(5)","{""지방분권"":7,""선거 중립"":7,""수사종결권"":8,""전자정부법"":9,""형사소송법"":10,""재난관리기금"":6,""개인정보 보호"":8,""인사청문경과보고서"":5,""행정안전부장관 인사청문회"":10}","[{""reason"":""전자정부법 개정과 개인정보 통보 시기 조정의 근거 법률로서 핵심 쟁점"",""weight"":10,""keyword"":""형사소송법""},{""reason"":""형사소송법 개정에 따른 후속 법률안으로 개인정보 보호와 통보 시기 조정 중심"",""weight"":9,""keyword"":""전자정부법""},{""reason"":""후보자의 적격성 검증과 정책 방향, 도덕성 논의의 중심 의제로 다뤄짐"",""weight"":10,""keyword"":""행정안전부장관 인사청문회""},{""reason"":""경찰의 불송치 결정과 검찰의 재수사 요청 간 법적 해석과 개인정보 통보 문제에서 핵심 쟁점"",""weight"":8,""keyword"":""수사종결권""},{""reason"":""형사소송법 및 전자정부법 개정안에서 정보주체 권리 보호를 위한 주요 논의 대상"",""weight"":8,""keyword"":""개인정보 보호""},{""reason"":""행정안전부장관 후보자 질의에서 재정분권과 함께 지방자치 강화 필요성 강조"",""weight"":7,""keyword"":""지방분권""},{""reason"":""코로나19 등 재난 대응을 위한 지방재정 운용 현황과 보강 필요성 논의"",""weight"":6,""keyword"":""재난관리기금""},{""reason"":""행안부장관 후보자의 공정한 행정 운영과 정치적 중립성에 대한 주요 질의 내용"",""weight"":7,""keyword"":""선거 중립""},{""reason"":""후보자 검증 결과를 정리하여 채택하는 절차적 핵심 문서"",""weight"":5,""keyword"":""인사청문경과보고서""}]"
384회,3·15 의거 관련자의 명예회복 및 보상 등에 관한 법률안 심의; 지방자치법 일부개정법률안 및 주민자치회 설치 근거 마련 논의; 공직선거법 일부개정법률안 및 선거관리 제도 개선 검토; 중앙선거관리위원회 위원후보자 박순영 인사청문회 실시계획서 채택 및 자료제출 요구; 김명수 대법원장 관련 논란과 중앙선관위원 인사청문회 진행 여부 토론,"본 회의에서는 3·15 의거 관련자의 명예회복 및 보상 등에 관한 특별법안이 대표발의되어 역사적 의미와 피해자 지원 필요성이 강조되었다. 지방자치법 개정안과 공직선거법 개정안도 상정되어 주민자치회 설치 근거 마련과 선거관리의 공정성 강화 방안이 검토되었다. 특히 중앙선거관리위원회 위원후보자 박순영에 대한 인사청문회 실시계획서가 채택되었으며, 이에 앞서 김명수 대법원장 관련 정치적 논란으로 인사청문회 진행 여부에 대한 여야 간 의견 대립이 있었다. 그러나 국회의 헌법적 책무와 삼권분립 원칙에 따라 인사청문회는 예정대로 진행하기로 결정되었다. 회의는 관련 법안 검토보고와 토론, 인사청문회 준비 절차 안내를 끝으로 산회되었다.","3·15 의거(10), 중앙선거관리위원회(9), 인사청문회(9), 김명수 대법원장(8), 지방자치법(7), 공직선거법(7), 명예회복(6), 선거관리(6), 법률안 상정(5), 삼권분립(5)","{""3·15 의거"":10,""명예회복"":6,""삼권분립"":5,""선거관리"":6,""공직선거법"":7,""인사청문회"":9,""지방자치법"":7,""법률안 상정"":5,""김명수 대법원장"":8,""중앙선거관리위원회"":9}","[{""reason"":""회의에서 가장 중점적으로 다뤄진 역사적 민주화운동과 관련된 법안 및 명예회복 논의"",""weight"":10,""keyword"":""3·15 의거""},{""reason"":""위원후보자 인사청문회 및 관련 절차가 주요 쟁점으로 다뤄짐"",""weight"":9,""keyword"":""중앙선거관리위원회""},{""reason"":""중앙선관위원 후보자에 대한 국회의 검증 절차로서 회의 내내 집중 논의됨"",""weight"":9,""keyword"":""인사청문회""},{""reason"":""정치적 논란과 인사청문회 진행 여부에 대한 여야 간 대립의 핵심 인물"",""weight"":8,""keyword"":""김명수 대법원장""},{""reason"":""주민자치회 설치 근거 마련을 위한 법률안이 상정되어 검토됨"",""weight"":7,""keyword"":""지방자치법""},{""reason"":""선거관리의 공정성 및 투명성 강화를 위한 개정안이 논의됨"",""weight"":7,""keyword"":""공직선거법""},{""reason"":""3·15 의거 관련자 및 유족에 대한 진상규명과 보상 요구가 반복 언급됨"",""weight"":6,""keyword"":""명예회복""},{""reason"":""공직선거법 개정과 중앙선관위 위원 인사청문회와 관련된 핵심 주제"",""weight"":6,""keyword"":""선거관리""},{""reason"":""회의 시작부터 여러 법률안의 신속한 상정과 심의가 이루어짐"",""weight"":5,""keyword"":""법률안 상정""},{""reason"":""인사청문회 진행과 관련하여 국회의 헌법적 책무로서 강조됨"",""weight"":5,""keyword"":""삼권분립""}]"
385회,박순영 중앙선거관리위원회 위원후보자 인사청문회 실시; 국민의힘 위원들의 청문회 불참 및 이에 대한 여당 위원들의 비판; 공직자윤리법 일부개정법률안(대안) 심사 및 처리; LH 및 공직유관단체 직원 재산등록 의무 범위 논의; 청년층 정치 참여 확대 및 선거관리의 공정성 강화 방안 질의,"제385회 국회 행정안전위원회에서는 대법원장이 지명한 박순영 중앙선거관리위원회 위원후보자에 대한 인사청문회를 진행하였다. 후보자는 법관으로서의 경험과 공정한 선거관리 의지를 밝히며 성실히 답변하였다. 국민의힘 위원들은 대법원장에 대한 반대 입장으로 청문회에 불참하였고, 여당 위원들은 이를 헌법기관으로서의 책무 방기로 강하게 비판하였다. 또한 LH 직원 등 공직유관단체 재산등록 의무 범위에 대해 심도 있는 논의가 이루어졌으며, 부대의견을 통해 LH 전 직원 포함을 명확히 하기로 합의하였다. 청년층 정치 참여 확대와 선거의 공정성 강화에 관한 질의도 이루어졌다. 마지막으로 공직자윤리법 일부개정법률안 대안이 위원회 안으로 가결되며 회의를 마무리하였다.","중앙선거관리위원회(10), 박순영(9), 인사청문회(9), 국민의힘 불참(8), 공직자윤리법 개정(8), LH 직원 재산등록(7), 청년 정치 참여(6), 헌법기관 책무(6), 법관 경력(5), 선거 공정성(7)","{""박순영"":9,""법관 경력"":5,""인사청문회"":9,""선거 공정성"":7,""국민의힘 불참"":8,""헌법기관 책무"":6,""청년 정치 참여"":6,""LH 직원 재산등록"":7,""공직자윤리법 개정"":8,""중앙선거관리위원회"":10}","[{""reason"":""회의의 핵심 안건으로 후보자 인사청문회가 진행됨"",""weight"":10,""keyword"":""중앙선거관리위원회""},{""reason"":""위원후보자로서 청문회의 중심 인물"",""weight"":9,""keyword"":""박순영""},{""reason"":""후보자 검증과 국회의 헌법적 책무 수행 과정"",""weight"":9,""keyword"":""인사청문회""},{""reason"":""야당의 청문회 불참으로 인한 여야 갈등과 논란"",""weight"":8,""keyword"":""국민의힘 불참""},{""reason"":""LH 직원 재산등록 의무 등 법안 심사 및 처리"",""weight"":8,""keyword"":""공직자윤리법 개정""},{""reason"":""법안 논의 중 주요 쟁점으로 부대의견 합의 도출"",""weight"":7,""keyword"":""LH 직원 재산등록""},{""reason"":""후보자 질의 중 청년층 정치 대표성 문제 제기"",""weight"":6,""keyword"":""청년 정치 참여""},{""reason"":""여야 의원들의 청문회 참여 의무와 헌법적 역할 강조"",""weight"":6,""keyword"":""헌법기관 책무""},{""reason"":""후보자의 자질과 경험을 평가하는 주요 근거"",""weight"":5,""keyword"":""법관 경력""},{""reason"":""후보자가 강조한 중앙선거관리위원회의 기본 역할"",""weight"":7,""keyword"":""선거 공정성""}]"
386회,행정안전위원회 간사 및 법안심사제1소위원장 선임; 인구 및 지방소멸위기 지역 지원을 위한 입법공청회; 중앙지방협력회의 구성 및 운영에 관한 입법공청회; 정부조직법 일부개정법률안(에너지 분야 전문 차관 신설) 의결,"제386회 국회 행정안전위원회에서는 간사 및 법안심사제1소위원장으로 박재호 위원을 선임하였다. 인구 및 지방소멸위기 지역 지원과 중앙지방협력회의 구성·운영에 관한 입법공청회를 합동으로 진행하며 지방 인구감소 문제와 법률적 한계, 국가 차원의 대응 필요성을 논의하였다. 특히 지방소멸 위기의 심각성과 청년 인구 유출 문제, 기존 법률의 미흡함이 강조되었다. 이어 정부조직법 일부개정법률안으로 산업부 내 에너지 분야 전문 차관 신설 안건을 다뤘으며, 여야 간 찬반 의견이 엇갈렸으나 원안대로 의결되었다. 회의는 관련 법률안 심사보고서 작성과 후속 조치에 대한 정부 측 인사들의 인사말로 마무리되었다.","지방소멸(10), 인구감소(9), 입법공청회(8), 정부조직법(8), 에너지차관(7), 탄소중립(7), 지방자치단체(6), 청년유출(6), 국가균형발전(5), 법률안 의결(5)","{""인구감소"":9,""지방소멸"":10,""청년유출"":6,""탄소중립"":7,""에너지차관"":7,""입법공청회"":8,""정부조직법"":8,""법률안 의결"":5,""국가균형발전"":5,""지방자치단체"":6}","[{""reason"":""회의 전반에서 인구감소와 지방소멸 위기 대응이 핵심 주제로 반복 언급됨"",""weight"":10,""keyword"":""지방소멸""},{""reason"":""지방소멸과 연계된 인구 감소 문제 및 청년 유출 현상이 주요 쟁점임"",""weight"":9,""keyword"":""인구감소""},{""reason"":""지방소멸 및 중앙지방협력회의 관련 법률안 논의를 위한 주요 절차로 진행됨"",""weight"":8,""keyword"":""입법공청회""},{""reason"":""에너지 분야 전문 차관 신설을 위한 법률안 의결이 중요한 안건으로 다뤄짐"",""weight"":8,""keyword"":""정부조직법""},{""reason"":""정부조직법 개정안의 핵심 내용으로 탄소중립 대응과 관련해 논쟁이 있었음"",""weight"":7,""keyword"":""에너지차관""},{""reason"":""에너지차관 신설 배경으로 탄소중립 정책 추진 필요성이 강조됨"",""weight"":7,""keyword"":""탄소중립""},{""reason"":""지방소멸 대응과 관련해 지방자치단체의 역할과 특례 조항이 논의됨"",""weight"":6,""keyword"":""지방자치단체""},{""reason"":""지방 인구 감소의 핵심 원인으로 청년층 수도권 유출 문제가 부각됨"",""weight"":6,""keyword"":""청년유출""},{""reason"":""지방소멸 문제 해결을 위한 국가 차원의 균형발전 정책 필요성이 언급됨"",""weight"":5,""keyword"":""국가균형발전""},{""reason"":""회의에서 다수의 법률안이 심사·의결되어 입법 절차가 진행됨"",""weight"":5,""keyword"":""법률안 의결""}]"
388회,1세대 1주택자 재산세율 특례 대상 확대 및 세율 조정; 대체공휴일 법제화를 위한 공청회 및 관련 법률안 심사; 공휴일에 관한 법률안(대안) 축조심사 및 의결,"본 회의에서는 1세대 1주택자에 대한 재산세 특례 확대와 세율 조정에 관한 지방세법 일부개정법률안 7건을 검토하였다. 재산세 부담 완화와 지방재정 영향에 대한 여야 간 입장 차이가 존재하며, 오후 소위원회에서 추가 논의가 예정되어 있다. 또한, 대체공휴일 법제화를 위한 공청회가 진행되었고, 공휴일에 관한 법률안의 제정과 관련하여 정부와 여야 간 의견 충돌이 있었다. 특히 법안의 적용 범위와 대체공휴일 지정 권한 문제, 5인 미만 사업장 적용 제외 등 실효성 문제에 대한 비판이 제기되었다. 최종적으로 공휴일에 관한 법률안(대안)이 위원회 안으로 제안되어 가결되었으며, 심사 과정에서 제기된 의견들은 심사보고서에 반영하기로 하였다.","재산세(10), 대체공휴일(9), 공휴일에 관한 법률안(9), 지방세법(7), 지방재정(7), 근로기준법(6), 소위원회(5), 적용 제외 사업장(5), 사회적 합의(4)","{""재산세"":10,""소위원회"":5,""지방세법"":7,""지방재정"":7,""근로기준법"":6,""대체공휴일"":9,""사회적 합의"":4,""적용 제외 사업장"":5,""공휴일에 관한 법률안"":9}","[{""reason"":""1세대 1주택자 세율 특례 확대 및 조정이 회의 핵심 안건으로 집중 논의됨"",""weight"":10,""keyword"":""재산세""},{""reason"":""공휴일 법제화와 관련한 공청회 및 법안 심사가 주요 쟁점으로 다뤄짐"",""weight"":9,""keyword"":""대체공휴일""},{""reason"":""법률안 제정과 축조심사 과정에서 정부와 여야 간 이견이 크게 부각됨"",""weight"":9,""keyword"":""공휴일에 관한 법률안""},{""reason"":""재산세 관련 법률안이 지방세법 일부개정법률안으로 제출되어 검토됨"",""weight"":7,""keyword"":""지방세법""},{""reason"":""재산세 세율 조정에 따른 지방재정 부담 문제가 주요 논점으로 제기됨"",""weight"":7,""keyword"":""지방재정""},{""reason"":""대체공휴일 법제화 시 근로기준법과의 관계 및 적용 범위가 논의됨"",""weight"":6,""keyword"":""근로기준법""},{""reason"":""재산세 및 공휴일 법안 심사가 소위원회에서 집중적으로 이루어짐"",""weight"":5,""keyword"":""소위원회""},{""reason"":""5인 미만 및 30인 미만 사업장 근로자 적용 제외 문제로 실효성 논란 발생"",""weight"":5,""keyword"":""적용 제외 사업장""},{""reason"":""공휴일 법제화 관련 사회적 합의와 경제적 영향 검토 필요성이 강조됨"",""weight"":4,""keyword"":""사회적 합의""}]"
389회,예산․결산기금심사소위원회 위원장 선임; 2021년도 제2회 추가경정예산안 심사; 추가경정예산안 관련 대체토론 및 현안 질의,"제389회 국회 행정안전위원회에서는 예산․결산기금심사소위원회 위원장으로 오영훈 위원을 선임하고 2021년도 제2회 추가경정예산안을 심사하였다. 행정안전부 장관은 코로나19 피해 회복과 지역경제 활성화를 위한 14조 3681억 원 증액된 추경안을 제안하였으며, 수석전문위원은 주요 사업별 예산 집행 현황과 문제점, 지방교부세 증액 배경 등을 검토보고하였다. 이어 여야 위원들은 추경안에 대한 대체토론을 진행하며 집행률, 청년일자리사업, 긴급재난지원금 선별 기준 등에 대해 질의하였다. 또한 최근 정치적 논란과 관련한 경찰청장 출석 요구 및 공작 의혹에 대한 토론이 이어졌으며, 위원장과 간사 간 합의를 통해 경찰청장 출석 일정 조율과 법안 심사 병행을 결정하였다. 회의는 추경안 심의를 마치고 산회하였다.","추가경정예산안(10), 예산결산기금심사소위원회(8), 코로나19 피해 회복(8), 지방교부세(7), 희망근로지원사업(6), 지역주도형 청년일자리사업(6), 긴급재난지원금(7), 경찰청장 출석 요구(7), 정치공작 의혹(6), 집행률(5)","{""집행률"":5,""지방교부세"":7,""정치공작 의혹"":6,""긴급재난지원금"":7,""추가경정예산안"":10,""희망근로지원사업"":6,""코로나19 피해 회복"":8,""경찰청장 출석 요구"":7,""예산결산기금심사소위원회"":8,""지역주도형 청년일자리사업"":6}","[{""reason"":""회의의 핵심 주제로 행정안전부 소관 추경안 심사와 관련 논의가 집중됨"",""weight"":10,""keyword"":""추가경정예산안""},{""reason"":""위원장 선임과 소위원회 구성 등 예산 심사 체계와 관련된 주요 안건임"",""weight"":8,""keyword"":""예산결산기금심사소위원회""},{""reason"":""추경안 편성의 주요 목적 중 하나로 국민지원금 및 지역경제 활성화 예산 포함"",""weight"":8,""keyword"":""코로나19 피해 회복""},{""reason"":""추가 세수 발생에 따른 지방교부세 증액과 지방재정 안정화 관련 논의가 있었음"",""weight"":7,""keyword"":""지방교부세""},{""reason"":""추경안 내 일자리 사업 중 집행률과 사업 중복 문제로 반복 언급됨"",""weight"":6,""keyword"":""희망근로지원사업""},{""reason"":""추경 증액 대상 사업으로 불용액 문제와 다년도 사업 편성 논의가 있었음"",""weight"":6,""keyword"":""지역주도형 청년일자리사업""},{""reason"":""소득 하위 80% 대상 선별 지급과 관련한 쟁점이 토론에서 부각됨"",""weight"":7,""keyword"":""긴급재난지원금""},{""reason"":""정치적 의혹과 공작 논란 관련 경찰청장 국회 출석 요구가 주요 현안으로 다뤄짐"",""weight"":7,""keyword"":""경찰청장 출석 요구""},{""reason"":""이동훈 전 논설위원 발언을 둘러싼 여야 간 공방과 의혹 제기가 반복됨"",""weight"":6,""keyword"":""정치공작 의혹""},{""reason"":""추경 예산 집행 현황과 관련해 위원들의 질의와 검토보고에서 중요하게 언급됨"",""weight"":5,""keyword"":""집행률""}]"
